Model,True label,Pred label,True activity,Pred activity,Count (samples)
Baseline 1D-CNN,10,9,walking with slop on a treadmill with a speed of 4 km/h(A10),walking on a flat treadmill with a speed of 4 km/h(A9),60
Baseline 1D-CNN,5,7,descending stairs (A5),moving around in an elevator (A7),60
CNN+BiLSTM,8,18,walking in a parking lot (A8),playing basketball (A18),60
CNN+BiLSTM,10,9,walking with slop on a treadmill with a speed of 4 km/h(A10),walking on a flat treadmill with a speed of 4 km/h(A9),59
Fusion (5-branch),8,18,walking in a parking lot (A8),playing basketball (A18),60
Fusion (5-branch),1,7,standing (A1),moving around in an elevator (A7),60
TCN,0,14,sitting (A0),cycling on an exercise bike in horizontal (A14),60
TCN,1,7,standing (A1),moving around in an elevator (A7),60
TCN v1,1,7,standing (A1),moving around in an elevator (A7),60
TCN v1,10,9,walking with slop on a treadmill with a speed of 4 km/h(A10),walking on a flat treadmill with a speed of 4 km/h(A9),59
TCN v2,1,7,standing (A1),moving around in an elevator (A7),60
TCN v2,6,7,standing in an elevator still (A6),moving around in an elevator (A7),58
